Date: <<2010/12/12 23:18:14>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/dev/DevStruct.php>>, Line: <<17>>, Description: <<include_once(../hard/HardManager.php) [<a href='function.include-once'>function.include-once</a>]: failed to open stream: No such file or directory>> 
Date: <<2010/12/12 23:18:14>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/dev/DevStruct.php>>, Line: <<17>>, Description: <<include_once() [<a href='function.include'>function.include</a>]: Failed opening '../hard/HardManager.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear')>> 
Date: <<2010/12/13 22:02:57>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/dev/DevStruct.php>>, Line: <<17>>, Description: <<include_once(../hard/HardManager.php) [<a href='function.include-once'>function.include-once</a>]: failed to open stream: No such file or directory>> 
Date: <<2010/12/13 22:02:57>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/dev/DevStruct.php>>, Line: <<17>>, Description: <<include_once() [<a href='function.include'>function.include</a>]: Failed opening '../hard/HardManager.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear')>> 
Date: <<2010/12/13 22:18:47>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/dev/DevStruct.php>>, Line: <<17>>, Description: <<include_once(../hard/HardManager.php) [<a href='function.include-once'>function.include-once</a>]: failed to open stream: No such file or directory>> 
Date: <<2010/12/13 22:18:47>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/dev/DevStruct.php>>, Line: <<17>>, Description: <<include_once() [<a href='function.include'>function.include</a>]: Failed opening '../hard/HardManager.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear')>> 
Date: <<2010/12/13 22:21:24>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/dev/DevStruct.php>>, Line: <<17>>, Description: <<include_once(../hard/HardManager.php) [<a href='function.include-once'>function.include-once</a>]: failed to open stream: No such file or directory>> 
Date: <<2010/12/13 22:21:24>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/dev/DevStruct.php>>, Line: <<17>>, Description: <<include_once() [<a href='function.include'>function.include</a>]: Failed opening '../hard/HardManager.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear')>> 
Date: <<2010/12/13 22:24:43>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/dev/DevStruct.php>>, Line: <<17>>, Description: <<include_once(../hard/HardManager.php) [<a href='function.include-once'>function.include-once</a>]: failed to open stream: No such file or directory>> 
Date: <<2010/12/13 22:24:43>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/dev/DevStruct.php>>, Line: <<17>>, Description: <<include_once() [<a href='function.include'>function.include</a>]: Failed opening '../hard/HardManager.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear')>> 
Date: <<2010/12/13 22:26:07>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/dev/DevStruct.php>>, Line: <<17>>, Description: <<include_once(../hard/HardManager.php) [<a href='function.include-once'>function.include-once</a>]: failed to open stream: No such file or directory>> 
Date: <<2010/12/13 22:26:07>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/dev/DevStruct.php>>, Line: <<17>>, Description: <<include_once() [<a href='function.include'>function.include</a>]: Failed opening '../hard/HardManager.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear')>> 
Date: <<2010/12/13 22:26:07>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/dev/DevStruct.php>>, Line: <<101>>, Description: <<DevStruct::include(../../tools/ToolDevelop/plugins/ProjectAdmin/server/templates/project/defaultProject/config.php) [<a href='devstruct.include'>devstruct.include</a>]: failed to open stream: No such file or directory>> 
Date: <<2010/12/13 22:26:07>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/dev/DevStruct.php>>, Line: <<101>>, Description: <<DevStruct::include() [<a href='function.include'>function.include</a>]: Failed opening '../../tools/ToolDevelop/plugins/ProjectAdmin/server/templates/project/defaultProject/config.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear')>> 
Date: <<2010/12/13 22:26:07>>, File: <</var/www/web/demo/tools/ToolDevelop/plugins/ProjectAdmin/server/include/dev/DevStruct.php>>, Line: <<101>>, Description: <<DevStruct::include(../../tools/ToolDevelop/plugins/ProjectAdmin/server/templates/project/../app/defaultApp/config.php) [<a href='devstruct.include'>devstruct.include</a>]: failed to open stream: No such file or directory>> 
